user_id,category,month,actual,predicted,abs_error,sample_index
U033,Entertainment,2024-03,0.0,0.003082662907873809,0.003082662907873809,1
U071,Health,2024-11,0.0,0.024303847542027038,0.024303847542027038,2
U013,Entertainment,2024-03,0.0,0.04695947417380896,0.04695947417380896,3
U143,Entertainment,2024-01,0.0,0.05570828973204643,0.05570828973204643,4
U082,Education,2024-02,0.0,0.05579820771889511,0.05579820771889511,5
U089,Education,2024-07,0.0,0.056350367170109876,0.056350367170109876,6
U143,Entertainment,2024-02,0.0,0.062092655547753485,0.062092655547753485,7
U057,Education,2024-01,0.0,0.0702855317326341,0.0702855317326341,8
U089,Education,2024-06,0.0,0.07489710835248907,0.07489710835248907,9
U033,Entertainment,2024-02,0.0,0.08616065245916829,0.08616065245916829,10
U103,Entertainment,2024-02,0.0,0.08966654547309692,0.08966654547309692,11
U024,Entertainment,2024-05,0.0,0.0971560821868113,0.0971560821868113,12
U092,Education,2024-03,0.0,0.110496549049737,0.110496549049737,13
U106,Food,2024-01,0.0,0.1112592498509827,0.1112592498509827,14
U106,Entertainment,2024-03,0.0,0.11696100197199072,0.11696100197199072,15
U001,Food,2024-03,0.0,0.11728959206463137,0.11728959206463137,16
U092,Transport,2024-02,0.0,0.12086090768615565,0.12086090768615565,17
U091,Food,2024-03,0.0,0.130340892813755,0.130340892813755,18
U092,Food,2023-12,0.0,0.1303471936215767,0.1303471936215767,19
U061,Bills,2024-07,0.0,0.13826021837965025,0.13826021837965025,20
U068,Entertainment,2024-06,0.0,0.13908069868455428,0.13908069868455428,21
U071,Health,2024-09,0.0,0.1460279337054877,0.1460279337054877,22
U101,Health,2024-08,0.0,0.14736349477325203,0.14736349477325203,23
U130,Food,2024-07,0.0,0.14836768517864599,0.14836768517864599,24
U027,Entertainment,2023-03,0.0,0.15645152015182295,0.15645152015182295,25
U112,Shopping,2024-07,0.0,0.15743992641732155,0.15743992641732155,26
U039,Food,2024-04,0.0,0.15965247431735397,0.15965247431735397,27
U130,Shopping,2023-09,0.0,0.16172845189942134,0.16172845189942134,28
U115,Education,2024-03,0.0,0.16649650466316743,0.16649650466316743,29
U149,Education,2024-03,0.0,0.16649650466316743,0.16649650466316743,30
U088,Food,2024-08,0.0,0.16891005610878418,0.16891005610878418,31
U139,Shopping,2024-08,0.0,0.16959527944127079,0.16959527944127079,32
U071,Health,2024-10,0.0,0.17161286822351396,0.17161286822351396,33
U110,Food,2023-04,0.0,0.17454475832467117,0.17454475832467117,34
U092,Education,2024-07,0.0,0.17812302218605625,0.17812302218605625,35
U031,Bills,2023-08,0.0,0.17919915900650107,0.17919915900650107,36
U111,Food,2024-03,0.0,0.18908673621189376,0.18908673621189376,37
U050,Shopping,2023-09,0.0,0.19019430952565627,0.19019430952565627,38
U055,Education,2024-07,0.0,0.1924683818016226,0.1924683818016226,39
U083,Education,2024-07,0.0,0.1924683818016226,0.1924683818016226,40
